"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Io e Pierpont non siamo d'accordo su molte cose, ma è stato saggio ad ammettere quanto sia pericoloso scatenare l'ira del Vuoto senza Volto. Il Trattato di Claszureme non mi fa impazzire, la cronomanzia era molto divertente, ma sai che cos'altro c'è di divertente? Non vedere cancellata la propria linea temporale."
"DCG_VO_ogre_bruiser_permanent_armor_04"	"Non mi preoccupa qualche creep..."
"DCG_VO_ogre_bruiser_permanent_armor_05"	"Sono nato per la guerra."
"DCG_VO_ogre_bruiser_permanent_attack_01"	"Sono più forte."
"DCG_VO_ogre_bruiser_permanent_attack_02"	"Nessuno è più forte di me."
"DCG_VO_ogre_bruiser_permanent_attack_03"	"Più forte che mai."
"DCG_VO_ogre_bruiser_permanent_attack_04"	"Mi sento potente."
"DCG_VO_ogre_bruiser_permanent_attack_05"	"Quanta potenza!"
"DCG_VO_ogre_bruiser_permanent_health_01"	"Serve impegno per uccidermi."
"DCG_VO_ogre_bruiser_permanent_health_02"	"Da qui non mi muovo."
"DCG_VO_ogre_bruiser_permanent_health_03"	"Non cadrò!"
"DCG_VO_ogre_bruiser_permanent_health_04"	"Nessuno mi ucciderà!"
"DCG_VO_ogre_bruiser_permanent_health_05"	"È importante restare in salute. Così si possono uccidere più persone."
"DCG_VO_ogre_bruiser_cast_spell_01"	"Conosco un po' di magia degli Ogre..."
"DCG_VO_ogre_bruiser_cast_spell_02"	"Abbattiamo tutto!"
"DCG_VO_ogre_bruiser_cast_spell_03"	"No, non lo farai!"
"DCG_VO_ogre_bruiser_cast_spell_04"	"Li vedo!"
"DCG_VO_ogre_bruiser_cast_spell_05"	"Non mi supereranno."
"DCG_VO_ogre_bruiser_cast_spell_06"	"Credi che sarà una passeggiata?"
"DCG_VO_ogre_bruiser_cast_spell_07"	"Ho molti amici..."
"DCG_VO_ogre_bruiser_cast_spell_08"	"Spero che funzioni..."
"DCG_VO_ogre_bruiser_cast_spell_09"	"Sarà interessante..."
"DCG_VO_ogre_bruiser_cast_spell_10"	"Beh, qualcosa accadrà."
"DCG_VO_ogre_bruiser_buff_ally_01"	"Ora osserva come si combatte..."
"DCG_VO_ogre_bruiser_buff_ally_02"	"Ora siamo amici."
"DCG_VO_ogre_bruiser_buff_ally_03"	"Gli amici si aiutano a uccidere."
"DCG_VO_ogre_bruiser_buff_ally_04"	"Ti copro io. "
"DCG_VO_ogre_bruiser_buff_ally_05"	"Sono con te."
"DCG_VO_ogre_bruiser_buff_ally_06"	"Insieme possiamo vincere."
"DCG_VO_ogre_bruiser_buff_ally_07"	"Mi piace il gioco di squadra."
"DCG_VO_ogre_bruiser_buff_ally_08"	"Questo dovrebbe aiutare."
"DCG_VO_ogre_bruiser_buff_ally_09"	"Ecco, prendi."
"DCG_VO_ogre_bruiser_buff_ally_10"	"A che servono gli amici?"
"DCG_VO_ogre_bruiser_debuff_enemy_01"	"Ti spezzo gli arti..."
"DCG_VO_ogre_bruiser_debuff_enemy_02"	"Hai le ore contate..."
"DCG_VO_ogre_bruiser_debuff_enemy_03"	"Vediamo quanto duri..."
"DCG_VO_ogre_bruiser_debuff_enemy_04"	"Fammi divertire, stupida creatura..."
"DCG_VO_ogre_bruiser_debuff_enemy_05"	"È divertente quando cercano di non morire."
"DCG_VO_ogre_bruiser_debuff_enemy_06"	"Buona fortuna."
"DCG_VO_ogre_bruiser_debuff_enemy_07"	"Patetico."
"DCG_VO_ogre_bruiser_debuff_enemy_08"	"Spero che tu abbia almeno un buon sapore."
"DCG_VO_ogre_bruiser_debuff_enemy_09"	"Non sopravviverai."
"DCG_VO_ogre_bruiser_debuff_enemy_10"	"Mi piace vederti soffrire..."
"DCG_VO_ogre_bruiser_single_target_damage_01"	"Ti strapperò le braccia..."
"DCG_VO_ogre_bruiser_single_target_damage_02"	"Ti userò come una clava."
"DCG_VO_ogre_bruiser_single_target_damage_03"	"Sei già un cadavere."
"DCG_VO_ogre_bruiser_single_target_damage_04"	"Non c'è nessuno che io non possa uccidere."
"DCG_VO_ogre_bruiser_single_target_damage_05"	"Ti ridurrò le ossa in polvere."
"DCG_VO_ogre_bruiser_single_target_damage_06"	"Il tuo cadavere sarà il mio spuntino."
"DCG_VO_ogre_bruiser_single_target_damage_07"	"Sono il più forte!"
"DCG_VO_ogre_bruiser_single_target_damage_08"	"Ti sfonderò il cranio."
"DCG_VO_ogre_bruiser_single_target_damage_09"	"Ti ucciderò a mani nude!"
"DCG_VO_ogre_bruiser_single_target_damage_10"	"Spero che tu riesca a difenderti un po'..."
"DCG_VO_ogre_bruiser_multi_damage_small_01"	"È tutto qui quello che avete da offrire?"
"DCG_VO_ogre_bruiser_multi_damage_small_02"	"Il vostro esercito è patetico."
"DCG_VO_ogre_bruiser_multi_damage_small_03"	"Vi farò tutti a pezzi!"
"DCG_VO_ogre_bruiser_multi_damage_small_04"	"Sarà un vero macello..."
"DCG_VO_ogre_bruiser_multi_damage_small_05"	"Le cose si fanno interessanti..."
"DCG_VO_ogre_bruiser_multi_damage_small_06"	"Servirà ben altro per fermarmi..."
"DCG_VO_ogre_bruiser_multi_damage_small_07"	"Ho partecipato a risse da bar molto più dure..."
"DCG_VO_ogre_bruiser_multi_damage_small_08"	"Affrontatemi, codardi!"
"DCG_VO_ogre_bruiser_multi_damage_small_09"	"Non ci vorrà molto..."
"DCG_VO_ogre_bruiser_multi_damage_small_10"	"Deboli creep..."
"DCG_VO_ogre_bruiser_multi_damage_large_01"	"Avanti!"
"DCG_VO_ogre_bruiser_multi_damage_large_02"	"Vi affronterò tutti!"
"DCG_VO_ogre_bruiser_multi_damage_large_03"	"Vi ucciderò tutti!"
"DCG_VO_ogre_bruiser_multi_damage_large_04"	"Morirete tutti!"
"DCG_VO_ogre_bruiser_multi_damage_large_05"	"Vi schiaccerò tutti!"
"DCG_VO_ogre_bruiser_multi_damage_large_06"	"Non ci saranno sopravvissuti!"
"DCG_VO_ogre_bruiser_multi_damage_large_07"	"Nessuno riuscirà a scappare!"
"DCG_VO_ogre_bruiser_multi_damage_large_08"	"Nessuno sopravviverà!"
"DCG_VO_ogre_bruiser_multi_damage_large_09"	"<i>Ruggito</i>"
"DCG_VO_ogre_bruiser_multi_damage_large_10"	"COMBATTIAMO!"
"DCG_VO_ogre_bruiser_pleased_01"	"È stato più facile di quanto pensassi."
"DCG_VO_ogre_bruiser_pleased_02"	"Ci stanno lasciando vincere..."
"DCG_VO_ogre_bruiser_pleased_03"	"<i>Sospiro di soddisfazione</i>"
"DCG_VO_ogre_bruiser_pleased_04"	"Quest'esperienza è stata edificante."
"DCG_VO_ogre_bruiser_pleased_05"	"Beh, oggi abbiamo sicuramente imparato qualcosa."
"DCG_VO_ogre_bruiser_pleased_06"	"Le battaglie hanno il potere di unire la gente."
"DCG_VO_ogre_bruiser_pleased_07"	"Mi piace conoscere nuove persone... e ucciderle."
"DCG_VO_ogre_bruiser_pleased_08"	"Sta andando tutto a gonfie vele."
"DCG_VO_ogre_bruiser_pleased_09"	"Sono felice!"
"DCG_VO_ogre_bruiser_pleased_10"	"Mi piace."
"DCG_VO_ogre_bruiser_concerned_01"	"Oh... così non va..."
"DCG_VO_ogre_bruiser_concerned_02"	"Non mi piace..."
"DCG_VO_ogre_bruiser_concerned_03"	"Non sta andando come pensavo..."
"DCG_VO_ogre_bruiser_concerned_04"	"Perché ho la sensazione che morirò presto?"
"DCG_VO_ogre_bruiser_concerned_05"	"Mi sa che stiamo perdendo..."
"DCG_VO_ogre_bruiser_concerned_06"	"Ci serve un altro piano..."
"DCG_VO_ogre_bruiser_concerned_07"	"La nostra tattica non funziona..."
"DCG_VO_ogre_bruiser_concerned_08"	"Ce ne sono un sacco..."
"DCG_VO_ogre_bruiser_concerned_09"	"Sono troppi per le 2 pietre che posso trasportare."
"DCG_VO_ogre_bruiser_concerned_10"	"Mi serve un nuovo piano..."
"DCG_VO_ogre_bruiser_angry_01"	"Ti sfido!"
"DCG_VO_ogre_bruiser_angry_02"	"Affrontami, se hai il coraggio!"
"DCG_VO_ogre_bruiser_angry_03"	"Non farmi arrabbiare."
"DCG_VO_ogre_bruiser_angry_04"	"Hai commesso un errore molto, molto stupido."
"DCG_VO_ogre_bruiser_angry_05"	"Schiaccerò il tuo stupido cranio."
"DCG_VO_ogre_bruiser_angry_06"	"Userò le tue ossa come stuzzicadenti..."
"DCG_VO_ogre_bruiser_angry_07"	"Nessuno può fermarmi!"
"DCG_VO_ogre_bruiser_angry_08"	"Vi affronterò tutti!"
"DCG_VO_ogre_bruiser_angry_09"	"Dimostrerò che sono il più forte!"
"DCG_VO_ogre_bruiser_angry_10"	"Come osi?!"
"DCG_VO_ogre_bruiser_arrogant_01"	"Mi aspettavo una vera sfida!"
"DCG_VO_ogre_bruiser_arrogant_02"	"Niente è più forte di un Ogre!"
"DCG_VO_ogre_bruiser_arrogant_03"	"Nessuno mi fermerà!"
"DCG_VO_ogre_bruiser_arrogant_04"	"Quando si è intelligenti come me, i piani non servono..."
"DCG_VO_ogre_bruiser_arrogant_05"	"I piani sono per chi non riesce a strappare la gamba di un cavallo..."
"DCG_VO_ogre_bruiser_arrogant_06"	"Mi servirà un piano quando troverò un problema che non può essere risolto con una pietra."
"DCG_VO_ogre_bruiser_arrogant_07"	"Non mi arrenderò mai..."
"DCG_VO_ogre_bruiser_arrogant_08"	"Solo i codardi temono la morte..."
"DCG_VO_ogre_bruiser_arrogant_09"	"Pensavo sarebbe stata una vera battaglia..."
"DCG_VO_ogre_bruiser_arrogant_10"	"Mi aspettavo di più da te..."
"DCG_VO_ogre_bruiser_enigmatic_01"	"Farò quel che devo."
"DCG_VO_ogre_bruiser_enigmatic_02"	"Farò tutto il necessario."
"DCG_VO_ogre_bruiser_enigmatic_03"	"Non c'è nulla che non possa spaccare."
"DCG_VO_ogre_bruiser_enigmatic_04"	"Non c'è nulla che non possa distruggere."
"DCG_VO_ogre_bruiser_enigmatic_05"	"Abbatterò le loro difese."
"DCG_VO_ogre_bruiser_enigmatic_06"	"Slacks mi adora. E tanto mi basta."
"DCG_VO_ogre_bruiser_enigmatic_07"	"Affronterò chiunque."
"DCG_VO_ogre_bruiser_enigmatic_08"	"Non temo nessuno."
"DCG_VO_ogre_bruiser_enigmatic_09"	"Strano..."
"DCG_VO_ogre_bruiser_enigmatic_10"	"Mi chiedo a cosa serva..."
"DCG_VO_ogre_bruiser_death_01"	"<i>Urla</i>"
"DCG_VO_prowler_shaman_intro"	"Magnus ci ha portato la bambina perché la tenessimo al sicuro. Non ha detto il motivo, ma non ce n'era bisogno. Sapevo chi era e chi poteva diventare."
"DCG_VO_prowler_shaman_equip_generic_weapon_01"	"Affronterò il pericolo a testa alta."
"DCG_VO_prowler_shaman_equip_generic_weapon_02"	"La mia arma è pronta."
"DCG_VO_prowler_shaman_equip_generic_weapon_03"	"Sono qui per combattere."
"DCG_VO_prowler_shaman_equip_generic_weapon_04"	"Difenderò tutti."
"DCG_VO_prowler_shaman_equip_generic_weapon_05"	"I predatori proteggono."
"DCG_VO_prowler_shaman_equip_generic_armor_01"	"Rimarrò al fianco dei miei alleati."
"DCG_VO_prowler_shaman_equip_generic_armor_02"	"Non fuggirò dal pericolo."
"DCG_VO_prowler_shaman_equip_generic_armor_03"	"I miei nemici? Che vengano, non li temo."
"DCG_VO_prowler_shaman_equip_generic_armor_04"	"Non ho paura di combattere."
"DCG_VO_prowler_shaman_equip_generic_armor_05"	"Affronterò qualsiasi sfida."
"DCG_VO_prowler_shaman_equip_generic_accessory_01"	"Mi sarà utile."
"DCG_VO_prowler_shaman_equip_generic_accessory_02"	"Cambierà le sorti della battaglia."
"DCG_VO_prowler_shaman_equip_generic_accessory_03"	"È proprio quello che mi serviva."
"DCG_VO_prowler_shaman_equip_generic_accessory_04"	"Perfetto."
"DCG_VO_prowler_shaman_equip_generic_accessory_05"	"Proprio al momento adatto."
"DCG_VO_prowler_shaman_kill_rival_01"	"Vattene da qui."
"DCG_VO_prowler_shaman_kill_rival_02"	"Questo non è il tuo posto."
"DCG_VO_prowler_shaman_kill_rival_03"	"Questa è la mia foresta."
"DCG_VO_prowler_shaman_kill_rival_04"	"I Predatori non temono nulla..."
"DCG_VO_prowler_shaman_kill_rival_05"	"Chi è il prossimo?"
"DCG_VO_prowler_shaman_kill_rival_06"	"Hai lottato bene."
"DCG_VO_prowler_shaman_kill_rival_07"	"Sei forte, ma io ancora di più."
"DCG_VO_prowler_shaman_kill_rival_08"	"Non avevi alcuna possibilità."
"DCG_VO_prowler_shaman_kill_rival_09"	"Uno sforzo coraggioso."
"DCG_VO_prowler_shaman_kill_rival_10"	"Il combattimento non fa per te."
"DCG_VO_prowler_shaman_unique_01"	"È bello combattere di nuovo al tuo fianco."
"DCG_VO_prowler_shaman_unique_02"	"Ilexa è al sicuro con noi, Magnus."
"DCG_VO_prowler_shaman_unique_03"	"È stato saggio da parte tua darci fiducia..."
"DCG_VO_prowler_shaman_unique_04"	"Sei un pallone gonfiato, Rooftrellen, ma sono felice che tu sia dalla mia parte."
"DCG_VO_prowler_shaman_unique_05"	"Nessuno ci sposterà, Treant."
"DCG_VO_prowler_shaman_unique_06"	"Resta al mio fianco, Magnus."
"DCG_VO_prowler_shaman_unique_07"	"È bello rivederti, Incantatrice: sei meravigliosa come sempre."
"DCG_VO_prowler_shaman_unique_08"	"I miei alleati verranno protetti."
"DCG_VO_prowler_shaman_unique_09"	"Sono stanco di questa carneficina."
"DCG_VO_prowler_shaman_unique_10"	"La natura verrà in nostro aiuto."
"DCG_VO_prowler_shaman_unique_11"	"I centauri non sono i benvenuti qui..."
"DCG_VO_prowler_shaman_unique_12"	"La tua \"caccia sacra\" è una farsa..."
"DCG_VO_prowler_shaman_unique_13"	"Non ti permetterò di dare la caccia agli abitanti della foresta."
"DCG_VO_prowler_shaman_unique_14"	"Stammi vicina, piccola creatura. Ti proteggerò."
"DCG_VO_prowler_shaman_unique_15"	"Non lasciare che Rix ti conduca alla morte."
"DCG_VO_prowler_shaman_unique_16"	"È bene avere le idee chiare, ma non gettare via la tua vita per nulla."
"DCG_VO_prowler_shaman_unique_17"	"Che cosa ti serve, Rix?"
"DCG_VO_prowler_shaman_unique_18"	"Come posso sostenere la ribellione?"
"DCG_VO_prowler_shaman_unique_19"	"Hai fatto la scelta giusta, Rix."
"DCG_VO_prowler_shaman_unique_20"	"Come va con la ribellione, Rix?"
"DCG_VO_prowler_shaman_healed_01"	"Ahhh!"
"DCG_VO_prowler_shaman_healed_02"	"Grazie."
"DCG_VO_prowler_shaman_healed_03"	"Grazie."
"DCG_VO_prowler_shaman_healed_04"	"Il tuo tempismo è impeccabile..."
"DCG_VO_prowler_shaman_healed_05"	"Sembra che oggi sia io ad avere bisogno di un salvataggio..."
"DCG_VO_prowler_shaman_taunt_generic_01"	"La vittoria è nostra!"
"DCG_VO_prowler_shaman_taunt_generic_02"	"Distruggiamo l'Antico!"
"DCG_VO_prowler_shaman_taunt_generic_03"	"Il loro Antico cadrà!"
"DCG_VO_prowler_shaman_taunt_generic_04"	"Non falliremo!"
"DCG_VO_prowler_shaman_taunt_generic_05"	"È ora di finirla!"
"DCG_VO_prowler_shaman_taunt_generic_06"	"Possiamo vincere questa guerra!"
"DCG_VO_prowler_shaman_taunt_generic_07"	"Presto la foresta sarà al sicuro!"
"DCG_VO_prowler_shaman_taunt_generic_08"	"Vinceremo assieme!"
"DCG_VO_prowler_shaman_taunt_generic_09"	"Continuate così e vinceremo!"
"DCG_VO_prowler_shaman_taunt_generic_10"	"Nessuno ci fermerà!"
"DCG_VO_prowler_shaman_potential_kill_01"	"Ora ti ho in pugno."
"DCG_VO_prowler_shaman_potential_kill_02"	"Non puoi sfuggirmi."
"DCG_VO_prowler_shaman_potential_kill_03"	"Non puoi sconfiggermi."
"DCG_VO_prowler_shaman_potential_kill_04"	"Stai lottando bene, ma non abbastanza."
"DCG_VO_prowler_shaman_potential_kill_05"	"Uno sforzo coraggioso, ma inutile."
"DCG_VO_prowler_shaman_potential_save_01"	"Non sei astuto come pensavi."
"DCG_VO_prowler_shaman_potential_save_02"	"Bel tentativo."
"DCG_VO_prowler_shaman_potential_save_03"	"Non è ancora giunta la mia ora."
"DCG_VO_prowler_shaman_potential_save_04"	"Stavo iniziando a preoccuparmi..."
"DCG_VO_prowler_shaman_potential_save_05"	"Per un soffio."
"DCG_VO_prowler_shaman_permanent_armor_01"	"Non deluderò la mia gente."
"DCG_VO_prowler_shaman_permanent_armor_02"	"Sarò protetto."
"DCG_VO_prowler_shaman_permanent_armor_03"	"Non si sbarazzeranno di me così facilmente."
"DCG_VO_prowler_shaman_permanent_armor_04"	"Un incantesimo semplice ma necessario."
"DCG_VO_prowler_shaman_permanent_armor_05"	"Devo rimanere in vita..."
"DCG_VO_prowler_shaman_permanent_attack_01"	"Ora sono più forte."
"DCG_VO_prowler_shaman_permanent_attack_02"	"Farò a pezzi i nostri nemici."
"DCG_VO_prowler_shaman_permanent_attack_03"	"Mostratemi i miei nemici."
"DCG_VO_prowler_shaman_permanent_attack_04"	"Mostrerò loro la forza del Predatore."
"DCG_VO_prowler_shaman_permanent_attack_05"	"La battaglia mi attende."
"DCG_VO_prowler_shaman_permanent_health_01"	"Che provino a uccidermi."
"DCG_VO_prowler_shaman_permanent_health_02"	"Non diventerò una preda."
"DCG_VO_prowler_shaman_permanent_health_03"	"Resisterò a tutto."
"DCG_VO_prowler_shaman_permanent_health_04"	"Solo il più forte sopravviverà."
"DCG_VO_prowler_shaman_permanent_health_05"	"La mia resistenza non ha limiti."
"DCG_VO_prowler_shaman_cast_spell_01"	"Farò di tutto per proteggere la mia gente."
"DCG_VO_prowler_shaman_cast_spell_02"	"È la giungla stessa a darmi forza..."
"DCG_VO_prowler_shaman_cast_spell_03"	"Non sarai mai più furbo di me."
"DCG_VO_prowler_shaman_cast_spell_04"	"La mia mente è più acuta di quanto pensi..."
"DCG_VO_prowler_shaman_cast_spell_05"	"Qui comando io."
"DCG_VO_prowler_shaman_cast_spell_06"	"La potenza del Predatore è senza pari!"
"DCG_VO_prowler_shaman_cast_spell_07"	"Non sai che cosa ti aspetta..."
"DCG_VO_prowler_shaman_cast_spell_08"	"Farò tutto il necessario."
"DCG_VO_prowler_shaman_cast_spell_09"	"Abbi fiducia."
"DCG_VO_prowler_shaman_cast_spell_10"	"Non arrenderti mai."
"DCG_VO_prowler_shaman_buff_ally_01"	"Fatti forza."
"DCG_VO_prowler_shaman_buff_ally_02"	"Proteggerò tutti."
"DCG_VO_prowler_shaman_buff_ally_03"	"Mi prenderò cura di te."
"DCG_VO_prowler_shaman_buff_ally_04"	"Abbi fiducia nei predatori."
"DCG_VO_prowler_shaman_buff_ally_05"	"Ora siamo al sicuro."
"DCG_VO_prowler_shaman_buff_ally_06"	"Vinceremo o moriremo insieme..."
"DCG_VO_prowler_shaman_buff_ally_07"	"Dobbiamo proteggerci a vicenda."
"DCG_VO_prowler_shaman_buff_ally_08"	"Faresti la stessa cosa per me..."
"DCG_VO_prowler_shaman_buff_ally_09"	"L'unione fa la forza."
"DCG_VO_prowler_shaman_buff_ally_10"	"I Predatori prestano il loro aiuto."
"DCG_VO_prowler_shaman_debuff_enemy_01"	"Che codardia!"
"DCG_VO_prowler_shaman_debuff_enemy_02"	"Dovresti scappare."
